"Job Titles" Department "Annual Salary"
"POLICE OFFICER" POLICE 87006
"CLERK III" "HUMAN RESOURCES" 39876
"PARKING ENFORCEMENT AIDE" FINANCE 53496
"COMMUNICABLE DISEASE CONTROL INVESTIGATOR II" HEALTH 76932
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 91338
"POLICE OFFICER" POLICE 93354
"INFORMATION SERVICES COORD" POLICE 93300
"BRIDGE OPERATOR" TRANSPORTN 54972
"POLICE OFFICER" POLICE 93354
"DETENTION AIDE" POLICE 56004
"DIR OF LIBRARY STAFF DEV" "PUBLIC LIBRARY" 76536
LIEUTENANT-EMT FIRE 117996
"POLICE OFFICER" POLICE 93354
ALDERMAN "CITY COUNCIL" 117832.92
FIREFIGHTER FIRE 93666
"POLICE OFFICER" POLICE 90024
"SR PROCUREMENT SPECIALIST" PROCUREMENT 93300
"ASST INSPECTOR GENERAL" "INSPECTOR GEN" 102084
FIREFIGHTER-EMT FIRE 89148
"POLICE OFFICER" POLICE 87006
"PAYMENT SERVICES REPRESENTATIVE" "CITY CLERK" 60972
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 84054
SERGEANT POLICE 107988
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 87006
"GENERAL MANAGER OF AIRPORT OPERATIONS" AVIATION 114552
"PARAMEDIC I/C" FIRE 91080
"POLICE OFFICER" POLICE 84054
FIREFIGHTER-EMT FIRE 89148
"POLICE OFFICER" POLICE 84054
FIREFIGHTER-EMT FIRE 92274
"POLICE OFFICER" POLICE 87006
"SUPERVISING PARALEGAL" LAW 93300
"FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC" FIRE 105804
PARAMEDIC FIRE 90024
"POLICE OFFICER" POLICE 90024
"BUILDING/CONSTRUCTION INSPECTOR" BUILDINGS 96984
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 87006
"STAFF ASST TO THE ALDERMAN" "CITY COUNCIL" 58476
"POLICE OFFICER" POLICE 68616
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 90024
"TIMEKEEPER - CPD" POLICE 70092
"AUDIO-VISION TESTER" "FAMILY & SUPPORT" 47844
"PROJECTS ADMINISTRATOR" "GENERAL SERVICES" 92028
"POLICE OFFICER" POLICE 84054
LIEUTENANT POLICE 123894
SERGEANT POLICE 107988
"FORESTRY SUPVSR" "STREETS & SAN" 80532
"PUBLIC HEALTH ADMINISTRATOR III" HEALTH 97056
FIREFIGHTER FIRE 93666
"POLICE COMMUNICATIONS OPERATOR I" OEMC 52776
"POLICE OFFICER" POLICE 90024
"SUPVSR OF PERSONNEL SERVICES" DoIT 89076
"ASST COMMISSIONER" "WATER MGMNT" 110076
FIREFIGHTER-EMT FIRE 92274
"POLICE COMMUNICATIONS OPERATOR I" OEMC 52776
"DIR OF ACCOUNTING" FINANCE 115932
FIREFIGHTER FIRE 93666
"BUSINESS COMPLIANCE INVESTIGATOR" "BUSINESS AFFAIRS" 80568
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 87006
"SENIOR CLERK-ELECTIONS" "BOARD OF ELECTION" 51732
"ASST TO THE COMMISSIONER" "HUMAN RELATIONS" 70620
"POLICE OFFICER" POLICE 90024
"PARKING ENFORCEMENT AIDE" FINANCE 36396
"POLICE OFFICER" POLICE 93354
FIREFIGHTER-EMT FIRE 99324
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 87006
"ACCOUNTANT III" FINANCE 92388
"INVESTIGATOR III - IG" "INSPECTOR GEN" 92088
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 87006
"ACCOUNTING TECHNICIAN II" "FAMILY & SUPPORT" 66948
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 90024
"LIBRARIAN IV" "PUBLIC LIBRARY" 100776
FIREFIGHTER-EMT FIRE 95484
"LIBRARIAN IV" "PUBLIC LIBRARY" 100776
"POLICE OFFICER" POLICE 72510
"ADMINISTRATIVE ASST II" "PUBLIC LIBRARY" 60972
"STAFF ASST TO THE ALDERMAN" "CITY COUNCIL" 55656
"SUPERVISING INVESTIGATOR-COPA" COPA 91188
"PROGRAM ANALYST" POLICE 101592
"POLICE OFFICER" POLICE 87006
"CLERK IV - TIMEKEEPER" AVIATION 42108
"POLICE OFFICER" POLICE 87006
"SUPERVISING SANITARIAN" HEALTH 65820
"POLICE OFFICER" POLICE 84054
LIEUTENANT POLICE 120252
"DETENTION AIDE" POLICE 61464
"POLICE OFFICER" POLICE 68616
FIREFIGHTER FIRE 87006
"POLICE OFFICER" POLICE 87006
"AIRPORT OPERATIONS SUPVSR II" AVIATION 92556
"DEPUTY DIR" POLICE 129096
"ELDER PROTECTIVE INVESTIGATOR I" "FAMILY & SUPPORT" 76548
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"POLICE OFFICER" POLICE 90024
"PRINCIPAL PROGRAMMER/ANALYST" FIRE 102672
"LIBRARY CLERK" "PUBLIC LIBRARY" 53076
"POLICE OFFICER" POLICE 48078
"SUPERVISING INVESTIGATOR-COPA" COPA 91188
"PERSONAL COMPUTER OPERATOR III" PROCUREMENT 70092
"PUBLIC HEALTH ADMINISTRATOR III" HEALTH 101592
LIEUTENANT-EMT FIRE 117996
"POLICE OFFICER" POLICE 48078
LIEUTENANT-EMT FIRE 117996
"POLICE OFFICER" POLICE 93354
"FIRE ENGINEER" FIRE 97440
"POLICE OFFICER" POLICE 72510
"ACCOUNTING TECHNICIAN I" FINANCE 70092
"CLERK IV" FINANCE 60972
"FOREMAN OF LINEMEN" OEMC 112112.04
"POLICE OFFICER" POLICE 93354
"ENGINEERING TECHNICIAN V" TRANSPORTN 80568
FIREFIGHTER-EMT FIRE 95484
"LIBRARIAN I" "PUBLIC LIBRARY" 65448
"POLICE OFFICER" POLICE 87006
FIREFIGHTER-EMT FIRE 89148
CAPTAIN-EMT FIRE 136794
"POLICE OFFICER" POLICE 72510
FIREFIGHTER-EMT FIRE 84870
"LIBRARIAN II" "PUBLIC LIBRARY" 84516
"SENIOR PERSONNEL ASSISTANT" HEALTH 66948
"CLERK III" "PUBLIC LIBRARY" 50628
FIREFIGHTER-EMT FIRE 89148
"POLICE OFFICER" POLICE 84054
"AIRPORT OPERATIONS SUPVSR II" AVIATION 111456
"POLICE OFFICER" POLICE 93354
"WATER CHEMIST II" "WATER MGMNT" 84516
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 96060
ALDERMAN "CITY COUNCIL" 117832.92
"COMMUNITY ORGANIZER-CAPS" POLICE 73440
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 90024
"FIRE ENGINEER-EMT" FIRE 103350
"CLERK III" HEALTH 53076
"SENIOR STOREKEEPER" "PUBLIC LIBRARY" 48312
"LIBRARY ASSOCIATE" "PUBLIC LIBRARY" 69492
"POLICE OFFICER" POLICE 48078
SERGEANT POLICE 104628
FIREFIGHTER-EMT FIRE 89148
"LIBRARIAN I" "PUBLIC LIBRARY" 49704
SERGEANT POLICE 107988
"POLICE OFFICER" POLICE 80016
"DEPUTY COMPTROLLER" FINANCE 120444
"CRIMINAL INTELLIGENCE ANALYST" POLICE 73212
"DEPUTY COMMISSIONER" HEALTH 160692
"MASON INSPECTOR" "WATER MGMNT" 102689.64
"ASST REGIONAL DIR - AGING" "FAMILY & SUPPORT" 89076
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 94524
"DIR OF ACCOUNTING" FINANCE 115932
"PUBLIC HEALTH NUTRITIONIST I" HEALTH 42924
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 91338
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"REGIONAL DIR - AGING" "FAMILY & SUPPORT" 102348
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 94122
"POLICE OFFICER" POLICE 93354
"ASST BENEFITS MANAGER" FINANCE 96288
"REFUSE COLLECTION COORD" "STREETS & SAN" 84384
SERGEANT POLICE 111474
"WATER CHEMIST II" "WATER MGMNT" 84516
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 84054
"MEDICAL SERVICES COORD - CPD" POLICE 53340
"SUPVSR OF ACCOUNTING" "COMMUNITY DEVELOPMENT" 107184
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 48078
"FINANCE OFFICER" HEALTH 100776
"ADMINISTRATIVE ASST III" HEALTH 84420
"SR PROCUREMENT SPECIALIST" PROCUREMENT 97740
SERGEANT POLICE 111474
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 90024
FIREFIGHTER-EMT FIRE 103272
"BUSINESS COMPLIANCE INVESTIGATOR" "BUSINESS AFFAIRS" 72696
"ASSOCIATE STAFF ATTORNEY" POLICE 56568
"POLICE OFFICER" POLICE 48078
"STAFF ASST TO THE ALDERMAN" "CITY COUNCIL" 47508
"POLICE OFFICER" POLICE 90024
"ARCHITECT IV" BUILDINGS 110064
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 68616
"STAFF ASST" BUILDINGS 92592
LIEUTENANT-EMT FIRE 121818
"POLICE OFFICER" POLICE 84054
"CIVIL ENGINEER III" TRANSPORTN 72264
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 84054
"PERSONAL COMPUTER OPERATOR II" "CITY CLERK" 63876
"SUPERINTENDENT OF SPECIAL TRAFFIC SERVICES" OEMC 81192
"PERSONNEL ASSISTANT" POLICE 70092
"PAYMENT SERVICES REPRESENTATIVE" FINANCE 40392
"POLICE OFFICER" POLICE 93354
"ASST COMMISSIONER" "STREETS & SAN" 103716
"POLICE OFFICER" POLICE 93354
FIREFIGHTER-EMT FIRE 99324
"POLICE OFFICER" POLICE 87006
"ASST COMMISSIONER" AVIATION 84156
"POLICE OFFICER" POLICE 90024
"SENIOR ARCHIVAL SPECIALIST" "PUBLIC LIBRARY" 59436
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 90024
"SR PROCUREMENT SPECIALIST" PROCUREMENT 69924
"PARAMEDIC I/C" FIRE 94122
"DEPUTY CORPORATION COUNSEL" LAW 139812
SERGEANT POLICE 111474
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 94524
"RESIDENT SERVICES COORD I" "FAMILY & SUPPORT" 69492
"ASST TO THE COMMISSIONER" "WATER MGMNT" 74688
"PRINCIPAL DATA BASE ANALYST" DoIT 108972
"POLICE OFFICER" POLICE 48078
"CHIEF VOUCHER EXPEDITER" FIRE 69384
"STAFF ASST TO THE ALDERMAN" "CITY COUNCIL" 44544
SERGEANT POLICE 101442
"COMMUNICATIONS OPERATOR I - 311" OEMC 60972
"CLERK - BD OF ELECTIONS" "BOARD OF ELECTION" 30060
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 84054
SERGEANT POLICE 107988
"POLICY ANALYST" BUILDINGS 60468
LIEUTENANT-EMT FIRE 117996
"POLICE OFFICER (ASGND AS MOUNTED PATROL OFFICER)" POLICE 91338
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"POLICE OFFICER" POLICE 76266
"FIELD SANITATION SPECIALIST" "STREETS & SAN" 80532
"FIRE ENGINEER" FIRE 103932
ALDERMAN "CITY COUNCIL" 113472
LIEUTENANT POLICE 120252
"EEO INVESTIGATOR" "HUMAN RESOURCES" 68100
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 48078
SERGEANT POLICE 104628
SERGEANT POLICE 104628
"LIBRARIAN III" "PUBLIC LIBRARY" 92388
"ASST DIRECTOR OF CHILDREN SERVICES" "FAMILY & SUPPORT" 73212
"POLICE OFFICER" POLICE 80016
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 87006
"ENGINEERING TECHNICIAN VI" "WATER MGMNT" 92592
"POLICE OFFICER" POLICE 87006
"FILTRATION ENGINEER V" "WATER MGMNT" 120312
"AMBULANCE COMMANDER" FIRE 117816
"LIBRARIAN IV" "PUBLIC LIBRARY" 100776
"POLICE OFFICER" POLICE 48078
"TRAFFIC SIGNAL REPAIRMAN" TRANSPORTN 101712
"POLICE OFFICER" POLICE 93354
SERGEANT POLICE 104628
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 93354
"FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC" FIRE 105804
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 90024
LIEUTENANT POLICE 127692
"DEPUTY COMMISSIONER" "BUSINESS AFFAIRS" 106848
"ASST ADMINISTRATIVE SECRETARY III" "MAYOR'S OFFICE" 80004
"FILTRATION ENGINEER III" "WATER MGMNT" 100776
"POLICE OFFICER" POLICE 96060
"SENIOR DATA ENTRY OPERATOR" HEALTH 63876
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 68616
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 96060
"FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC" FIRE 105804
"AVIATION SECURITY OFFICER" AVIATION 52776
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"FIELD VEHICLE INVESTIGATOR" "STREETS & SAN" 92556
LIEUTENANT POLICE 127692
"COMMUNICATIONS OPERATOR I - 311" OEMC 66948
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 87006
"LIBRARIAN I" "PUBLIC LIBRARY" 76548
"POLICE OFFICER" POLICE 87006
CAPTAIN POLICE 136170
"POLICE OFFICER" POLICE 90024
SERGEANT POLICE 104628
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 93354
"COMPUTER APPL ANALYST I-ELECTIONS" "BOARD OF ELECTION" 44604
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 84054
"SUPPORT SERVICES COORD" "FAMILY & SUPPORT" 70092
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 98052
SERGEANT POLICE 107988
SERGEANT POLICE 104628
PARAMEDIC FIRE 90024
"POLICE OFFICER" POLICE 87006
SERGEANT POLICE 107988
"POLICE OFFICER" POLICE 87006
FIREFIGHTER-EMT FIRE 95484
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 87006
"HELP DESK TECHNICIAN" FINANCE 101592
FIREFIGHTER FIRE 93666
"DEPUTY COMMISSIONER" HEALTH 119772
SERGEANT POLICE 101442
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 87006
"CLERK III" POLICE 58248
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 87006
"POLICE COMMUNICATIONS OPERATOR I" OEMC 50412
"POLICE OFFICER" POLICE 87006
ALDERMAN "CITY COUNCIL" 109188
"CLINICAL THERAPIST III" HEALTH 66588
"LIBRARIAN II" "PUBLIC LIBRARY" 84516
LIEUTENANT POLICE 120252
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 93354
"CLERK - BD OF ELECTIONS" "BOARD OF ELECTION" 29328
PARAMEDIC FIRE 76266
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 96060
FIREFIGHTER-EMT FIRE 89148
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 93354
"CLERK CITY COUNCIL" "CITY COUNCIL" 25008
"POLICE OFFICER" POLICE 96060
"COORD OF GRANTS MANAGEMENT" TRANSPORTN 97056
"HEAD LIBRARY CLERK" "PUBLIC LIBRARY" 60972
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)" POLICE 94524
"POLICE OFFICER" POLICE 87006
"DOMESTIC VIOLENCE ADVOCATE" POLICE 76932
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"STAFF ASST" BUILDINGS 88344
"HEAD LIBRARY CLERK" "PUBLIC LIBRARY" 66948
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 90024
FIREFIGHTER-EMT FIRE 92274
COMMANDER FIRE 133188
"LIBRARIAN I" "PUBLIC LIBRARY" 76548
"DATA ENTRY OPERATOR" POLICE 46152
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 48078
LIEUTENANT FIRE 107790
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"PAYMENT SERVICES REPRESENTATIVE" FINANCE 60972
LIEUTENANT POLICE 120252
"FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC" FIRE 105804
LIEUTENANT-EMT FIRE 121818
"POLICE OFFICER" POLICE 90024
"EXECUTIVE SECRETARY II" "FAMILY & SUPPORT" 70620
"CIVIL ENGINEER III" "WATER MGMNT" 100776
"POLICE OFFICER" POLICE 48078
"MANAGER OF VEHICLE MAINTENANCE" "GENERAL SERVICES" 93300
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 48078
"STAFF ASST" AVIATION 53340
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
SERGEANT POLICE 107988
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 90024
FIREFIGHTER-EMT FIRE 89148
"POLICE OFFICER" POLICE 87006
"SANITATION CLERK" "STREETS & SAN" 55512
SERGEANT POLICE 111474
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 87006
"DEPUTY DIR" OEMC 115680
"POLICE OFFICER" POLICE 90024
FIREFIGHTER FIRE 93666
"COORD OF SPECIAL PROJECTS" "COMMUNITY DEVELOPMENT" 102348
"DETENTION AIDE" POLICE 48072
"BUSINESS COMPLIANCE INVESTIGATOR" "BUSINESS AFFAIRS" 80568
"EDITORIAL ASST" "CITY CLERK" 66948
"LIBRARIAN III" "PUBLIC LIBRARY" 68796
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 68616
"POLICE OFFICER" POLICE 93354
"LIBRARIAN I" "PUBLIC LIBRARY" 49704
"POLICE OFFICER" POLICE 96060
LIEUTENANT POLICE 120252
"BEHAVIORAL HEALTH ASSISTANT" HEALTH 70092
SERGEANT POLICE 104628
"POLICE OFFICER" POLICE 87006
"ELECTRICAL ENGINEER IV" AVIATION 110064
"STAFF ASST" AVIATION 80568
"CLINICAL THERAPIST III" HEALTH 100776
"POLICE OFFICER" POLICE 48078
"COMMISSIONER OF CHICAGO PUBLIC LIBRARY" "PUBLIC LIBRARY" 167004
"POLICE OFFICER (ASSGN AS HELICOPTER PILOT)" POLICE 94524
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 84054
FIREFIGHTER FIRE 90024
FIREFIGHTER-EMT FIRE 95484
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 90024
"FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC" FIRE 109656
"POLICE OFFICER" POLICE 84054
SERGEANT POLICE 107988
"DEPUTY COMMISSIONER" "BUSINESS AFFAIRS" 107280
FIREFIGHTER-EMT FIRE 89148
FIREFIGHTER FIRE 97386
"POLICE OFFICER" POLICE 90024
"FIELD PAYROLL AUDITOR" FIRE 84384
"POLICE COMMUNICATIONS OPERATOR I" OEMC 52776
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 84054
SERGEANT POLICE 107988
ALDERMAN "CITY COUNCIL" 115560
FIREFIGHTER-EMT FIRE 89148
FIREFIGHTER-EMT FIRE 95484
"PROGRAM DIR" HEALTH 76716
"POLICE OFFICER" POLICE 87006
INVESTIGATOR POLICE 52176
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 93354
"SENIOR DATA ENTRY OPERATOR" POLICE 58248
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 87006
FIREFIGHTER-EMT FIRE 89148
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
SERGEANT POLICE 111474
SERGEANT POLICE 104628
"SHIFT SUPVSR OF SECURITY COMMUNICATIONS CENTER" OEMC 90900
LIEUTENANT POLICE 120252
"PARAMEDIC FIELD CHIEF" FIRE 140970
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 76266
SERGEANT POLICE 111474
"ADMINISTRATIVE ASST II" PROCUREMENT 70092
"ACCOUNTANT I" FINANCE 49704
"PUBLIC HEALTH NURSE II" HEALTH 102216
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 90024
"GENERAL FOREMAN OF ELECTRICAL MECHANICS" "WATER MGMNT" 108368.04
"POLICE OFFICER" POLICE 90024
"WATER CHEMIST II" "WATER MGMNT" 54768
"POLICE OFFICER" POLICE 90024
SERGEANT POLICE 104628
"SUPERVISING CLERK" FINANCE 76932
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 90024
"ACCOUNTANT IV" "FAMILY & SUPPORT" 100776
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
"POLICE OFFICER" POLICE 90024
LIEUTENANT POLICE 120252
LIEUTENANT POLICE 127692
LIEUTENANT POLICE 120252
"POLICE OFFICER" POLICE 90024
"MECHANICAL ENGINEER V" AVIATION 85776
"ACCOUNTANT II" FINANCE 84516
"POLICE OFFICER" POLICE 72510
FIREFIGHTER-EMT FIRE 89148
SERGEANT POLICE 104628
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 87006
"ADMINISTRATIVE SECRETARY" "CITY COUNCIL" 74340
"SUPERVISING PARALEGAL" COPA 57252
FIREFIGHTER-EMT FIRE 89148
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 48078
"TELEVISION PRODUCTION SPEC" "BUSINESS AFFAIRS" 57252
"CHIEF OPERATING ENGINEER" "WATER MGMNT" 118414.44
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 48078
"PLUMBING INSPECTOR" BUILDINGS 102510
"POLICE OFFICER" POLICE 87006
"STAFF ASST" HEALTH 84420
FIREFIGHTER FIRE 87006
SERGEANT POLICE 111474
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
FIREFIGHTER-EMT FIRE 89148
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 87006
FIREFIGHTER-EMT FIRE 84870
"AMBULANCE COMMANDER" FIRE 125130
"SUPERVISING CLERK" "WATER MGMNT" 76932
"SUPERVISING TRAFFIC CONTROL AIDE" OEMC 43800
"POLICE OFFICER" POLICE 48078
SERGEANT POLICE 104628
ATTORNEY AVIATION 134316
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
SERGEANT POLICE 104628
"ASST DEPUTY CHIEF PARAMEDIC" FIRE 156360
"POLICE OFFICER" POLICE 87006
"COORD OF SPECIAL PROJECTS" "COMMUNITY DEVELOPMENT" 81192
SERGEANT POLICE 111474
"POLICE OFFICER" POLICE 87006
FIREFIGHTER-EMT FIRE 84870
"POLICE OFFICER" POLICE 90024
"BUSINESS COMPLIANCE INVESTIGATOR" "BUSINESS AFFAIRS" 55644
"POLICE OFFICER" POLICE 87006
SERGEANT POLICE 104628
FIREFIGHTER FIRE 87006
"POLICE OFFICER" POLICE 72510
"BATTALION CHIEF" FIRE 140970
FIREFIGHTER FIRE 90024
RECRUITER "HUMAN RESOURCES" 83688
"POLICE OFFICER" POLICE 87006
"ARCHITECT IV" BUILDINGS 110064
FIREFIGHTER-EMT FIRE 95484
"LIBRARIAN I" "PUBLIC LIBRARY" 52320
"POLICE OFFICER" POLICE 48078
FIREFIGHTER/PARAMEDIC FIRE 94476
"POLICE OFFICER" POLICE 90024
"MANAGING DEPUTY COMMISSIONER" "BUSINESS AFFAIRS" 129096
"SHIFT SUPVSR OF AVIATION SECURITY" AVIATION 102348
"DIR OF ADMINISTRATION I" TRANSPORTN 81192
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 87006
"DIR OF FACILITIES MANAGEMENT" "GENERAL SERVICES" 114552
"POLICE OFFICER" POLICE 93354
"SANITARIAN II" HEALTH 80568
"SENIOR STOREKEEPER" "PUBLIC LIBRARY" 55536
"PROCUREMENT CONTROL OFFICER" "WATER MGMNT" 73440
"SUPERVISING FIRE MARSHAL-EMT" FIRE 117996
"ADMINISTRATIVE ASST II" "PUBLIC LIBRARY" 66948
SERGEANT POLICE 107988
FIREFIGHTER FIRE 97386
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)" POLICE 98052
"LEGAL SECRETARY" LAW 76932
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
"PRINCIPAL CLERK-ELECTIONS" "BOARD OF ELECTION" 64596
FIREFIGHTER-EMT FIRE 95484
"ASST CORPORATION COUNSEL SUPVSR" LAW 91224
"POLICE OFFICER" POLICE 84054
"PROGRAM COORD - SPECIAL EVENTS" "CULTURAL AFFAIRS" 112284
"POLICE OFFICER" POLICE 90024
"HEAD LIBRARY CLERK" "PUBLIC LIBRARY" 66948
COMMANDER POLICE 162684
"ACCOUNTANT IV" FINANCE 100776
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 90024
LIEUTENANT POLICE 123894
FIREFIGHTER-EMT FIRE 92274
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 48078
SERGEANT POLICE 104628
"MANAGER OF REVENUE COLLECTIONS" FINANCE 91128
"DIR OF LOAN PROCESSING" "COMMUNITY DEVELOPMENT" 102348
"ADMINISTRATIVE ASST III" "BUSINESS AFFAIRS" 80568
"POLICE OFFICER" POLICE 68616
"PROPERTY CUSTODIAN" POLICE 58248
"POLICE OFFICER" POLICE 48078
"FINANCE OFFICER" HEALTH 100776
FIREFIGHTER-EMT FIRE 92274
"POLICE OFFICER" POLICE 90024
